supp conf rule
0.001 0.062 196 -> 44
0.001 0.061 685 -> 702
0.001 0.059 209 -> 1171
0.001 0.058 209 -> 1787
0.001 0.057 196 -> 68 83
0.001 0.057 1023 -> 1150
0.001 0.057 68 -> 450
0.001 0.056 209 -> 602
0.001 0.055 702 -> 685
0.001 0.055 209 -> 43
0.001 0.053 685 -> 299
0.001 0.051 68 -> 44
0.001 0.050 685 -> 1137
0.001 0.049 702 -> 165
0.001 0.049 68 -> 1787
0.001 0.048 714 -> 273
0.001 0.048 702 -> 322
0.001 0.047 83 -> 449
0.001 0.046 68 -> 196 83
0.001 0.045 702 -> 329
0.001 0.045 68 -> 923
0.001 0.045 83 -> 196 68
0.001 0.044 83 -> 198
