supp conf lift rule
0.003 0.177 8.702 44 -> 209
0.002 0.097 8.687 68 -> 43
0.002 0.196 8.687 43 -> 68
0.001 0.153 8.468 1787 -> 196
0.001 0.073 8.468 196 -> 1787
0.002 0.157 8.454 658 -> 1023
0.002 0.089 8.454 1023 -> 658
0.001 0.170 8.358 1171 -> 209
0.001 0.059 8.358 209 -> 1171
0.002 0.193 8.345 80 -> 83
0.002 0.083 8.345 83 -> 80
0.002 0.117 8.310 53 -> 28
0.002 0.122 8.310 28 -> 53
0.002 0.186 8.021 43 -> 83
0.002 0.090 8.021 83 -> 43
0.001 0.156 7.767 1137 -> 685
0.001 0.050 7.767 685 -> 1137
0.001 0.088 7.697 89 -> 109
0.001 0.089 7.697 109 -> 89
0.001 0.094 7.355 121 -> 29
0.001 0.097 7.355 29 -> 121
0.003 0.170 7.346 196 -> 83
0.003 0.132 7.346 83 -> 196
0.003 0.144 7.076 196 -> 209
0.003 0.128 7.076 209 -> 196
0.001 0.138 6.792 1787 -> 209
0.001 0.058 6.792 209 -> 1787
0.001 0.065 6.791 83 -> 152
0.001 0.157 6.791 152 -> 83
0.001 0.100 6.667 49 -> 540
0.001 0.076 6.667 540 -> 49
0.001 0.131 6.543 193 -> 685
0.001 0.073 6.543 685 -> 193
0.001 0.094 6.419 29 -> 53
0.001 0.082 6.419 53 -> 29
0.001 0.049 5.740 68 -> 1787
0.001 0.129 5.740 1787 -> 68
0.001 0.120 5.336 322 -> 702
0.001 0.048 5.336 702 -> 322
0.002 0.121 5.242 209 -> 83
0.002 0.107 5.242 83 -> 209
0.001 0.114 5.043 165 -> 702
0.001 0.049 5.043 702 -> 165
0.003 0.117 5.039 68 -> 83
0.003 0.114 5.039 83 -> 68
0.002 0.112 4.979 209 -> 68
0.002 0.101 4.979 68 -> 209
0.001 0.099 4.870 43 -> 209
0.001 0.055 4.870 209 -> 43
0.001 0.044 4.684 83 -> 198
0.001 0.108 4.684 198 -> 83
0.001 0.045 4.117 68 -> 923
0.001 0.093 4.117 923 -> 68
0.001 0.082 3.874 273 -> 714
0.001 0.048 3.874 714 -> 273
0.001 0.062 3.610 196 -> 44
0.001 0.065 3.610 44 -> 196
0.001 0.068 3.017 44 -> 68
0.001 0.051 3.017 68 -> 44
0.001 0.061 2.728 685 -> 702
0.001 0.055 2.728 702 -> 685
