,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,label
1129,2.866796951,-0.021678755,0.252548342,-0.065030427,0.017330408,0.01374673,-0.013427935,0.036217108,-0.009893313,D
1145,-7.656670044,-1.794715047,-1.118762897,-0.825706046,0.408919299,0.487772883,0.276122749,-0.151117058,0.050503988,D
1169,-0.691427296,0.070442648,-0.803760235,-0.197186089,0.147570667,-0.124352763,-0.029718084,0.089748401,0.10062277,D
1193,-9.663366007,-1.621923751,-0.361821021,-0.289283067,0.216518139,0.98709555,-0.376105889,0.445831319,-0.21177503,D
1217,1.594254722,-0.28951003,0.025578292,-0.179394486,0.045580902,0.086061615,0.023518644,0.055793242,0.043971068,D
1241,2.796851672,-0.054945938,0.191999218,-0.093584293,-0.000903691,0.009922692,-0.019983927,0.0409862,0.018875,D
1261,2.299159113,-0.111576726,0.098688683,-0.031175892,0.010106993,-0.017155711,0.068555029,0.040954074,-0.020100916,D
1285,2.173575612,-0.106459784,0.066628925,0.014222112,-0.009845761,0.102674206,-0.000361738,0.001437358,0.023489994,D
1309,0.29656926,-0.031092344,0.102796964,-0.284976077,-0.199380854,0.185058477,-0.096368385,-0.041580477,-0.050083905,D
1333,2.226383399,-0.128066655,0.072767023,-0.004304749,-0.051362103,0.00107443,-0.113855046,0.023610097,-0.030869892,D
1357,-1.15472419,-0.14303643,-0.531126582,-0.067134686,0.324762403,-0.16147071,0.010722501,-0.094858614,-0.04792564,D
1381,0.472589465,-0.785555281,-0.494265617,-0.00772578,0.091043869,0.100753818,-0.147726974,0.071354601,0.284053717,D
1405,-3.207036052,-1.555796631,-1.097319326,1.731340218,1.035141953,-0.312319101,0.187254401,0.098156862,-0.34637548,D
1429,-10.86599277,-0.748374858,-1.22004758,-0.583346713,0.353150817,0.351643902,0.175027049,-0.368267393,0.086813979,D
1453,-2.411624114,0.288039447,-0.39640673,-0.879286122,0.398798544,-0.020343037,0.04402376,-0.455630167,0.002394465,D
1477,1.140701673,-0.219764848,0.008057083,-0.290288397,0.003004641,-0.012876118,0.006610862,-0.029735554,-0.005084058,D
1501,2.436204243,-0.046522658,0.250607171,-0.01185248,0.070330418,0.005101854,-0.00244328,-0.017000102,0.055965078,D
1524,2.729552912,-0.058873388,0.17663204,-0.052425917,0.03492909,0.030230144,-0.008197141,0.016729636,-0.046903386,D
1545,2.353702917,-0.041656685,0.132606529,-0.032476874,0.00697647,0.001109216,-0.054537535,0.02464161,-0.006928329,D
1569,1.051673202,-0.058018686,0.105439282,0.067175573,0.031870833,0.107567992,0.066920717,0.058652917,-0.026312778,D
1593,0.663019173,0.488674072,0.071708391,-0.193630138,-0.016521632,-0.073369082,-0.098432314,0.022853442,-0.073023462,D
1617,-1.730006591,-1.400394195,-0.642156383,0.323410075,0.176505378,0.00767524,0.100646018,0.114703746,0.008927871,D
1641,-0.234707002,0.452480529,-0.097976601,-0.270931873,0.309565642,-0.252986014,-0.049240085,-0.212765203,0.053443157,D
1665,-1.27706051,-1.15526048,-1.112021864,-0.050724584,0.332955684,-0.208283297,0.328317886,0.108354153,-0.087127389,D
1689,2.734569062,-0.130819772,0.15718371,-0.089243883,-0.008762558,-0.019407431,0.018248429,-0.006338719,-0.06312989,A
1706,2.235183729,-0.369846466,-0.092485846,-0.111525697,-0.016101958,0.01084152,0.027726317,-0.024965364,-0.094798785,A
1728,-2.084616037,0.498990637,-1.01263705,-0.682862772,-0.593379733,-0.061765534,0.130293942,0.187237464,0.417601405,D
1752,-0.773469372,0.124392989,-0.561397716,-0.163882221,-0.213211415,0.175016406,-0.016451929,-0.073709699,0.007603087,D
1776,2.154262578,-0.5755846,-0.155353997,-0.165186042,-0.103172843,-0.100262855,-0.017278245,-0.143402276,-0.313194099,A
1795,1.814566025,-0.687719864,-0.303274765,-0.064368213,-0.013069539,-0.062566019,0.029820819,-0.134555872,-0.363224896,A
1817,-3.376817626,-1.924163671,-1.019181743,-0.077951244,-0.089063834,0.607930862,-0.552906365,-0.131016707,-0.542690274,A
1841,2.826225708,-0.056996657,0.190327185,-0.100719439,-0.008313205,0.002671759,-0.013762583,0.016583736,-0.034108944,A
1858,2.857041701,0.020083774,0.209271298,-0.10712912,0.003864462,0.004605347,-0.027327141,0.035843198,0.015572648,A
1878,2.884980534,-0.032932117,0.228347279,-0.076992424,0.010625536,-0.009842778,0.00873243,0.024786132,-0.046465763,A
1893,2.532928384,-0.253426938,0.01262519,-0.167349343,-0.009257144,0.035371807,-0.066052203,0.021091213,0.034737074,A
1912,2.852182674,-0.046252214,0.243020561,-0.058454978,0.007892624,-0.021118238,-0.002198867,0.01170635,-0.018925687,A
1927,2.076215853,-0.392933701,-0.188366189,0.006333998,0.132450833,-0.106525054,0.010708843,0.086859712,0.012386169,D
1950,2.300636641,-0.354588278,-0.082771811,-0.059165531,0.038456356,-0.022414343,-0.017004802,-0.013874133,-0.142749307,A
1973,2.388519085,-0.346110669,-0.008997202,-0.022895895,0.013303588,-0.050972594,0.009667111,-0.03826333,-0.069834526,A
1991,2.074260189,-0.517512339,-0.138648556,-0.120436368,-0.042451336,0.009210075,-0.060340364,-0.000497067,0.029048856,D
2012,2.473402875,-0.29120905,0.019031681,-0.041852753,0.072125417,-0.011290483,2.85E-05,0.076129841,0.061748126,D
2030,2.505071977,-0.260452955,0.058407403,-0.08637579,-0.00429221,-0.072753356,0.030071317,-0.043868073,-0.075190645,A
