,LD1,LD2,LD3,Label
1193,0.528087196,-0.468737773,2.773644102,D
1217,0.120412097,0.35607373,0.181597963,D
1241,-0.000448717,0.08805976,0.065026309,D
1261,0.04243232,-0.326506909,0.12914098,D
1285,0.069858536,0.068993621,-0.095273012,D
1309,-0.352668369,0.607773372,0.734184174,D
1333,0.007863567,0.047809745,0.085907113,D
1357,0.434155148,0.252987898,-0.467095368,D
1381,0.341397858,0.674641972,-0.571962424,D
1405,0.323772109,-3.279941169,2.380331175,D
1429,1.444373902,1.298677744,-1.467826393,D
1453,0.889232779,0.088851119,-1.309038304,D
1477,-0.003692068,-0.255727692,0.343440003,D
1501,0.081193552,-0.065456961,-0.196782408,D
1524,-0.019867829,-0.016011022,0.152262001,D
1545,-5.27E-05,0.043693048,-0.087261081,D
1569,0.308398849,0.097224224,0.490385731,D
1593,0.067907097,0.705743871,-0.256145078,D
1617,-0.253551788,-1.283852141,1.57506601,D
1641,0.243784617,0.004823414,0.810066441,D
1665,0.40556521,-1.632075076,-1.759605259,D
1689,-0.024904903,-0.292754683,0.041902728,A
1706,0.014116539,-0.323758352,-0.360288241,A
1728,1.081509654,1.438766854,-0.440536111,D
1752,0.46296381,0.408262624,-0.222521158,D
1776,-0.293780211,-1.199576847,0.026921313,A
1795,-0.047656785,-1.275637993,0.320418919,A
1817,0.310138332,-0.77077432,2.33703418,A
1841,0.044324449,-0.093886496,-0.182324106,A
1858,-0.004517466,0.022309587,0.124651278,A
1878,-0.057087139,-0.119405498,0.093346934,A
1893,0.077910576,0.060967151,0.053175061,A
1912,-0.066601693,0.074668071,-0.145057952,A
1927,0.237410949,-0.425838054,-0.212313695,D
1950,0.067642669,-0.174732699,-0.363959167,A
1973,-0.023136123,-0.301992375,-0.581499233,A
1991,0.08186105,-0.137902581,0.008222681,D
2012,0.166298676,-0.019154934,-0.287127296,D
2030,-0.084686111,-0.345579487,-0.06923105,A
2050,0.137892924,-0.178156127,-0.003834367,A
2070,-0.268906049,-0.432758054,-0.004013002,D
2091,0.02904499,-0.149306922,0.226619695,A
2110,2.803389635,2.350714057,2.197365332,A
2134,0.17404305,0.37906236,0.209265356,A
2158,0.124998102,0.080596504,0.30756989,A
2182,-0.149006663,-0.667003319,-1.329808365,A
2205,-0.00116872,0.194187408,-0.312280573,A
2227,0.10181436,0.070847866,-0.002192553,A
2251,0.058125798,-0.186897846,0.00180452,A
2269,0.360674366,0.561017017,-0.477036951,D
2293,-0.064827974,-0.57460936,0.106505749,A
2310,-0.101967219,-0.175099279,0.201897092,A
2330,0.203451549,1.036160195,-0.173903451,D
2354,0.290619868,0.701036108,-0.688293045,D
2378,-0.005157663,0.004882516,0.138039878,D
2396,0.017472871,0.348146808,-0.089025013,D
2420,0.06193632,-0.041107962,0.158409199,D
2438,-0.013743318,-0.0340727,-0.020053811,A
2455,-0.492945745,-0.777146899,-0.242141887,A
2476,-1.181288287,-2.914090744,-0.448475622,A
2500,0.021011061,-0.109236139,0.003707147,A
2512,0.042870921,-0.351110019,-0.346013533,A
2532,2.291948948,5.152142675,2.341141531,D
2556,1.11822379,1.008167376,-0.460635471,D
2580,0.554863053,0.755739394,0.77331571,D
2604,0.128870994,0.577412952,1.161485987,D
2628,0.074746202,-0.023988646,0.221665267,D
2648,0.254248933,-0.223377805,0.289319422,D
2670,0.229272512,0.478117872,-0.17891438,D
2694,0.219436421,0.397880428,-0.288014662,D
2718,0.024045045,0.077733544,0.084925368,D
2742,0.141423426,5.093671251,4.027903123,D
2766,0.502406122,0.250415477,-0.302497418,C
2790,-0.070140814,0.308363849,0.850772836,C
2814,-0.853689643,-1.325847042,0.12507316,A
2837,0.031317913,-0.004237916,-0.025115599,A
2853,-0.087781808,-0.594891313,-0.090119004,A
2877,-0.40261268,-0.666293442,-0.285789844,D
2901,0.08806472,-0.319973663,-0.134454684,D
2924,0.049666738,-0.109847501,0.217708392,D
2943,-0.067031643,-0.00567206,-0.020124543,A
2960,0.134843062,-0.072292734,-0.470787072,A
2981,0.028796518,-0.069800259,-0.066413389,D
2996,0.040924561,-0.175808118,-0.213399284,A
3010,0.097877899,-0.033712258,-0.590618287,A
3032,-0.004053745,-0.097106129,-0.037763818,A
3049,-0.021973041,0.065881531,0.089367625,A
3067,0.370011116,0.309579572,0.015108378,D
3091,0.443002496,1.114945421,0.451220146,D
3115,0.618832862,0.607928644,0.657277099,D
3139,0.011989375,-0.00129041,0.152959291,D
3161,-0.016948673,0.195072265,-0.052134622,D
3182,-0.092420454,0.128527431,0.084911076,D
3206,0.556463981,0.069714024,0.084409248,D
3230,-0.132877342,1.792108774,3.805671621,D
3254,0.460398173,0.638539509,-0.411084613,D
3278,0.091663577,-0.085228909,-0.292818232,D
3299,-0.092055566,-0.045951325,0.285810186,D
3321,0.034388384,0.432796948,0.022029446,D
3345,-0.070623806,0.547479763,0.269996358,D
3368,-0.270147948,0.109746633,-0.446376598,D
